2025-03-06 17:32:06 - Reset completion status for ID: 15, Dept: kehoach
2025-03-06 17:32:06 - Reset completion status for ID: 18, Dept: kehoach
2025-03-06 17:32:06 - Reset completion status for ID: 48, Dept: kehoach
2025-03-06 17:32:06 - Reset completion status for ID: 49, Dept: kehoach
2025-03-06 17:33:29 - Reset completion status for ID: 1, Dept: kehoach
2025-03-07 07:47:48 - Reset completion status for ID: 15, Dept: kho
2025-03-07 07:47:48 - Reset completion status for ID: 18, Dept: kho
2025-03-07 07:47:48 - Reset completion status for ID: 49, Dept: kho
2025-03-07 07:47:48 - Reset completion status for ID: 50, Dept: kho
2025-03-07 17:37:56 - Reset completion status for ID: 48, Dept: kho
2025-04-12 02:39:44 - Reset completion status for ID: 7674, Dept: cat
2025-04-12 02:39:44 - Reset completion status for ID: 7674, Dept: co_dien
2025-04-12 02:39:44 - Reset completion status for ID: 7674, Dept: kehoach
2025-04-12 02:39:44 - Reset completion status for ID: 7866, Dept: ep_keo
2025-04-12 02:39:44 - Reset completion status for ID: 7866, Dept: kehoach
